ASV	Domain	Phylum	Class	Order	Family	Genus	Species	
985cf9e1cd71bd760a4d40748522fe1a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Octadecabacter	
70dbe9de623e56ca60d6d1c324bf72c9	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__uncultured	
d1ff9d2e060398cc0fb79a2ff66cab6d	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Amoebophilaceae	 g__uncultured	 s__uncultured_organism
9a6f42bb30fa1b2be7b75eb7e27c4322	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Rhodopirellula	 s__planctomycete_str.
3e382c3b5c5b88cb29980605106c3576	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae		
ae1a3294a308522fe7e0ed7e91fefd71	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Spongiibacteraceae	 g__uncultured	
3868acc80d8909d9478d12ac6ee9f1fe	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__Luteibaculum	 s__uncultured_bacterium
a3250e7bbb7690de490cde9be61dd177	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Caldilineales	 f__Caldilineaceae	 g__uncultured	 s__uncultured_bacterium
de8958f7eb6f8be559bedd2314195c34	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Izemoplasmatales	 f__Izemoplasmataceae	 g__Izimaplasma	 s__uncultured_bacterium
e918f8e179133b167df693b7c7316e5f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae		
d09335ad8b98d26901ae51017f1ff348	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Absconditabacteriales_(SR1)	 f__Absconditabacteriales_(SR1)	 g__Absconditabacteriales_(SR1)	 s__uncultured_bacterium
0c39fbb0f0a2f543166b2561be45b0da	d__Bacteria	 p__NB1-j	 c__NB1-j	 o__NB1-j	 f__NB1-j	 g__NB1-j	 s__uncultured_deep-sea
332e350fe96e485398ff78d4adaf1633	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Colwelliaceae	 g__Colwellia	
ab6b1d6aa9cf1d8a5aa555eaefbd8414	d__Bacteria	 p__Verrucomicrobiota	 c__Kiritimatiellae	 o__Kiritimatiellales	 f__Kiritimatiellaceae	 g__R76-B128	
5040cf71dde553df66dfd88811ff2c78	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae	 g__uncultured	 s__uncultured_Flammeovirgaceae
a7ec2046b8867272afaea5d14753efb3	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Spongiibacteraceae	 g__Sinobacterium	 s__uncultured_bacterium
81b674d9f429a1e3b49459e97bb5440e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Azospirillales	 f__Azospirillaceae	 g__Skermanella	
2509124d5a8418e353409841890316ad	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Winogradskyella	
f3ebde0e46c6240a2d2b8dc6cbc726b2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Shewanellaceae	 g__Shewanella	 s__Shewanella_donghaensis
9ea4c3ce1d0d3261d149001c505291ef	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__uncultured	 s__Aquimarina_versatilis
9990a9e1fef0e9a323534ef97aec2030	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Portibacter	 s__uncultured_bacterium
c1b66b9436afdbfcf16a7a91f07dd628	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Francisellales	 f__Francisellaceae	 g__[Caedibacter]_taeniospiralis_group	
8d395170b3d918b4374dcccbe4d3cbbd	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Cyanobacteriales	 f__Xenococcaceae	 g__Pleurocapsa_PCC-7319	
686263e8f12ae674b6279c20e617bffb	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
